x1,x2,d_exact,output,error,membership_function
-1,-1,6,5.98347058545883,0.0165294145411687,gaussmf
-1,-1,5.91960004081216,5.90576649923884,0.0138335415733195,gaussmf
-1,-1,5.84001632486481,5.82846550173449,0.0115508231303254,gaussmf
-1,-0.97979797979798,5.76124885215794,5.75159908637714,0.00964976578080634,gaussmf
-1,-0.97979797979798,5.68329762269156,5.6751985300407,0.00809909265085995,gaussmf
-1,-0.97979797979798,5.60616263646567,5.59929476687137,0.00686786959429853,gaussmf
-1,-0.95959595959596,5.52984389348026,5.52391825453669,0.00592563894357045,gaussmf
-1,-0.95959595959596,5.45434139373533,5.44909883128195,0.00524256245338695,gaussmf
-1,-0.95959595959596,5.37965513723089,5.37486555946708,0.00478957776381339,gaussmf
-1,-0.939393939393939,5.30578512396694,5.30124654106006,0.0045385829068838,gaussmf
-1,-0.939393939393939,5.23273135394347,5.22826861167915,0.00446274226432841,gaussmf
-1,-0.939393939393939,5.16049382716049,5.15595702149836,0.00453680566213599,gaussmf
-1,-0.919191919191919,5.089072543618,5.08433563623206,0.0047369073859338,gaussmf
-1,-0.919191919191919,5.01846750331599,5.01342704699568,0.00504045632031236,gaussmf
-1,-0.919191919191919,4.94867870625446,4.94325256686587,0.00542613938859393,gaussmf
-1,-0.898989898989899,4.87970615243343,4.87383220190533,0.00587395052809647,gaussmf
-1,-0.898989898989899,4.81154984185287,4.80518461286112,0.00636522899175773,gaussmf
-1,-0.898989898989899,4.7442097745128,4.73732707407442,0.00688270043838735,gaussmf
-1,-0.878787878787879,4.67768595041322,4.67027543324561,0.00741051716761376,gaussmf
-1,-0.878787878787879,4.61197836955413,4.60404407450329,0.00793429505084298,gaussmf
-1,-0.878787878787879,4.54708703193552,4.53864588663498,0.00844114530053286,gaussmf
-1,-0.858585858585859,4.48301193755739,4.47409223800121,0.00891969955618332,gaussmf
-1,-0.858585858585859,4.41975308641975,4.41039295943459,0.00936012698516553,gaussmf
-1,-0.858585858585859,4.3573104785226,4.34755633626026,0.00975414226233973,gaussmf
-1,-0.838383838383838,4.29568411386593,4.28558911042957,0.0100950034363647,gaussmf
-1,-0.838383838383838,4.23487399244975,4.22449649361992,0.0103774988298344,gaussmf
-1,-0.838383838383838,4.17488011427405,4.16428219200906,0.0105979222649903,gaussmf
-1,-0.818181818181818,4.11570247933884,4.10494844327625,0.0107540360625897,gaussmf
-1,-0.818181818181818,4.05734108764412,4.04649606621271,0.0108450214314031,gaussmf
-1,-0.818181818181818,3.99979593918988,3.98892452313822,0.0108714160516552,gaussmf
-1,-0.797979797979798,3.94306703397613,3.93223199511932,0.0108350388568095,gaussmf
-1,-0.797979797979798,3.88715437200286,3.87641546976933,0.0107389022335305,gaussmf
-1,-0.797979797979798,3.83205795327007,3.82147084118318,0.0105871120868994,gaussmf
-1,-0.777777777777778,3.77777777777778,3.76739302132421,0.0103847564535666,gaussmf
-1,-0.777777777777778,3.72431384552597,3.71417606194048,0.010137783585487,gaussmf
-1,-0.777777777777778,3.67166615651464,3.66181328584876,0.00985287066588336,gaussmf
-1,-0.757575757575758,3.6198347107438,3.61029742619204,0.00953728455176028,gaussmf
-1,-0.757575757575758,3.56881950821345,3.55962077205611,0.00919873615733602,gaussmf
-1,-0.757575757575758,3.51862054892358,3.50977531862978,0.00884523029380091,gaussmf
-1,-0.737373737373737,3.4692378328742,3.46075291991776,0.00848491295644083,gaussmf
-1,-0.737373737373737,3.4206713600653,3.41254544187133,0.00812591819397035,gaussmf
-1,-0.737373737373737,3.37292113049689,3.36514491369567,0.00777621680122209,gaussmf
-1,-0.717171717171717,3.32598714416896,3.3185436750292,0.00744346913975757,gaussmf
-1,-0.717171717171717,3.27986940108152,3.27273451667391,0.00713488440761489,gaussmf
-1,-0.717171717171717,3.23456790123457,3.22771081258857,0.00685708864600265,gaussmf
-1,-0.696969696969697,3.1900826446281,3.18346664094216,0.00661600368594284,gaussmf
-1,-0.696969696969697,3.14641363126212,3.13999689216065,0.00641673910146867,gaussmf
-1,-0.696969696969697,3.10356086113662,3.09729736208696,0.0062634990496564,gaussmf
-1,-0.676767676767677,3.06152433425161,3.05536482860684,0.00615950564477163,gaussmf
-1,-0.676767676767677,3.02030405060708,3.01419711036809,0.00610694023899061,gaussmf
-1,-0.676767676767677,2.97990001020304,2.97379310653118,0.00610690367185596,gaussmf
-1,-0.656565656565657,2.94031221303949,2.93415281682691,0.00615939621258077,gaussmf
-1,-0.656565656565657,2.90154065911642,2.89527734155438,0.00626331756203991,gaussmf
-1,-0.656565656565657,2.86358534843383,2.85716886151951,0.00641648691432284,gaussmf
-1,-0.636363636363636,2.82644628099174,2.81983059828098,0.0066156827107533,gaussmf
-1,-0.636363636363636,2.79012345679012,2.7832667554281,0.00685670136202532,gaussmf
-1,-0.636363636363636,2.754616875829,2.74748244195294,0.00713443387606105,gaussmf
-1,-0.616161616161616,2.71992653810836,2.71248357908944,0.00744295901891423,gaussmf
-1,-0.616161616161616,2.6860524436282,2.67827679226693,0.00777565136127256,gaussmf
-1,-0.616161616161616,2.65299459238853,2.64486929005844,0.00812530233009578,gaussmf
-1,-0.595959595959596,2.62075298438935,2.61226873219068,0.00848425219867055,gaussmf
-1,-0.595959595959596,2.58932761963065,2.58048308881867,0.00884453081198355,gaussmf
-1,-0.595959595959596,2.55871849811244,2.5495204933529,0.00919800475953503,gaussmf
-1,-0.575757575757576,2.52892561983471,2.51938909116032,0.00953652867439247,gaussmf
-1,-0.575757575757576,2.49994898479747,2.49009688644359,0.00985209835387524,gaussmf
